Time of Day,Total Incidents,Assault Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Sex Offenses,Estado
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,nevada
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,nevada
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,nevada
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,nevada
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,nevada
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,nevada
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,nevada
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,nevada
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,nevada
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,nevada
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,nevada
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,nevada
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,nevada
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,nevada
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,nevada
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,nevada
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,nevada
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,nevada
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,nevada
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,nevada
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,newhampershire
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,newhampershire
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,newhampershire
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,newhampershire
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,newhampershire
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,newhampershire
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,newhampershire
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,newhampershire
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,newhampershire
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,newhampershire
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,newhampershire
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,newhampershire
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,newhampershire
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,newhampershire
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,newhampershire
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,newhampershire
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,newhampershire
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,newhampershire
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,newhampershire
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,newhampershire
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,newhampershire
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,newhampershire
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,newhampershire
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,newhampershire
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,newhampershire
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,newhampershire
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,newhampershire
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,newhampershire
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,newmexico
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,newmexico
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,newmexico
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,newmexico
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,newmexico
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,newmexico
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,newmexico
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,newmexico
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,newmexico
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,newmexico
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,newmexico
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,newmexico
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,newmexico
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,newmexico
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,newmexico
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,newmexico
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,newmexico
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,newmexico
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,newmexico
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,newmexico
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,newmexico
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,newmexico
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,newmexico
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,newmexico
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,newmexico
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,newmexico
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,newmexico
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,newmexico
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,newyersey
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,newyersey
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,newyersey
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,newyersey
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,newyersey
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,newyersey
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,newyersey
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,newyersey
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,newyersey
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,newyersey
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,newyersey
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,newyersey
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,newyersey
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,newyersey
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,newyersey
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,newyersey
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,newyersey
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,newyersey
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,newyersey
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,newyersey
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,newyersey
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,newyersey
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,newyersey
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,newyersey
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,newyersey
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,newyersey
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,newyersey
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,newyersey
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,newyork
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,newyork
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,newyork
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,newyork
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,newyork
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,newyork
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,newyork
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,newyork
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,newyork
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,newyork
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,newyork
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,newyork
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,newyork
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,newyork
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,newyork
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,newyork
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,newyork
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,newyork
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,newyork
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,newyork
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,newyork
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,newyork
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,newyork
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,newyork
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,newyork
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,newyork
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,newyork
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,newyork
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,northcaroline
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,northcaroline
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,northcaroline
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,northcaroline
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,northcaroline
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,northcaroline
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,northcaroline
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,northcaroline
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,northcaroline
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,northcaroline
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,northcaroline
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,northcaroline
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,northcaroline
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,northcaroline
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,northcaroline
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,northcaroline
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,northcaroline
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,northcaroline
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,northcaroline
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,northcaroline
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,northcaroline
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,northcaroline
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,northcaroline
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,northcaroline
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,northcaroline
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,northcaroline
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,northcaroline
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,northcaroline
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,northdakota
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,northdakota
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,northdakota
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,northdakota
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,northdakota
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,northdakota
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,northdakota
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,northdakota
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,northdakota
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,northdakota
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,northdakota
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,northdakota
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,northdakota
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,northdakota
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,northdakota
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,northdakota
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,northdakota
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,northdakota
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,northdakota
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,northdakota
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,northdakota
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,northdakota
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,northdakota
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,northdakota
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,northdakota
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,northdakota
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,northdakota
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,northdakota
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,ohio
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,ohio
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,ohio
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,ohio
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,ohio
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,ohio
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,ohio
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,ohio
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,ohio
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,ohio
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,ohio
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,ohio
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,ohio
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,ohio
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,ohio
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,ohio
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,ohio
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,ohio
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,ohio
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,ohio
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,ohio
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,ohio
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,ohio
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,ohio
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,ohio
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,ohio
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,ohio
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,ohio
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,oklahoma
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,oklahoma
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,oklahoma
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,oklahoma
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,oklahoma
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,oklahoma
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,oklahoma
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,oklahoma
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,oklahoma
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,oklahoma
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,oklahoma
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,oklahoma
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,oklahoma
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,oklahoma
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,oklahoma
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,oklahoma
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,oklahoma
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,oklahoma
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,oklahoma
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,oklahoma
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,oklahoma
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,oklahoma
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,oklahoma
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,oklahoma
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,oklahoma
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,oklahoma
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,oklahoma
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,oklahoma
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,oregon
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,oregon
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,oregon
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,oregon
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,oregon
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,oregon
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,oregon
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,oregon
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,oregon
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,oregon
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,oregon
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,oregon
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,oregon
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,oregon
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,oregon
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,oregon
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,oregon
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,oregon
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,oregon
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,oregon
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,oregon
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,oregon
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,oregon
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,oregon
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,oregon
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,oregon
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,oregon
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,oregon
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,pennsylvania
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,pennsylvania
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,pennsylvania
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,pennsylvania
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,pennsylvania
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,pennsylvania
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,pennsylvania
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,pennsylvania
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,pennsylvania
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,pennsylvania
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,pennsylvania
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,pennsylvania
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,pennsylvania
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,pennsylvania
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,pennsylvania
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,pennsylvania
